Taxa,TS1.2,TS10.2,TS100.2,TS100,TS101.2,TS103.2,TS103,TS104,TS105.2,TS105,TS106.2,TS106,TS107.2,TS107,TS109.2,TS109,TS10,TS11.2,TS110.2,TS110,TS111.2,TS111,TS115.2,TS115,TS116.2,TS116,TS117.2,TS117,TS118.2,TS118,TS119.2,TS119,TS11,TS12.2,TS120.2,TS120,TS124.2,TS124,TS125.2,TS125,TS126.2,TS126,TS127.2,TS127,TS128.2,TS128,TS129.2,TS129,TS12,TS13.2,TS130.2,TS130,TS131.2,TS131,TS132.2,TS132,TS133.2,TS133,TS134.2,TS134,TS135.2,TS135,TS136.2,TS136,TS137.2,TS137,TS138.2,TS138,TS139.2,TS139,TS13,TS140.2,TS140,TS141.2,TS141,TS142.2,TS142,TS143.2,TS143,TS144.2,TS144,TS145.2,TS145,TS146.2,TS146,TS147.2,TS147,TS148,TS149,TS14,TS15.2,TS150,TS151.2,TS151,TS152.2,TS152,TS153,TS154.2,TS155.2,TS155,TS156.2,TS156,TS15,TS160.2,TS160,TS161,TS162.2,TS162,TS163.2,TS163,TS164.2,TS164,TS165.2,TS165,TS166.2,TS166,TS167.2,TS167,TS168.2,TS168,TS169.2,TS169,TS16,TS170.2,TS178.2,TS178,TS179.2,TS179,TS17,TS180,TS181.2,TS181,TS182.2,TS182,TS183.2,TS183,TS184,TS185.2,TS185,TS186,TS19.2,TS190,TS191,TS192,TS193.2,TS193,TS194.2,TS194,TS195.2,TS195,TS19,TS1,TS2.2,TS20.2,TS20,TS21.2,TS21,TS22,TS23,TS25.2,TS25,TS26.2,TS26,TS27.2,TS27,TS28,TS29,TS2,TS3.2,TS30.2,TS30,TS31.2,TS31,TS32.2,TS32,TS33.2,TS33,TS34,TS35,TS37.2,TS37,TS38.2,TS38,TS39.2,TS39,TS3,TS4.2,TS43,TS44,TS49.2,TS49,TS4,TS5.2,TS50.2,TS50,TS51.2,TS51,TS55.2,TS55,TS56.2,TS56,TS57.2,TS57,TS5,TS6.2,TS61.2,TS61,TS62.2,TS62,TS63.2,TS63,TS64.2,TS64,TS65.2,TS65,TS66.2,TS66,TS67.2,TS67,TS68.2,TS68,TS69.2,TS69,TS6,TS7.2,TS70.2,TS70,TS71.2,TS71,TS72,TS73,TS74.2,TS74,TS75.2,TS75,TS76.2,TS76,TS77,TS78.2,TS78,TS7,TS8.2,TS82.2,TS82,TS83.2,TS83,TS84.2,TS84,TS85.2,TS85,TS86.2,TS86,TS87.2,TS87,TS88.2,TS88,TS89.2,TS89,TS8,TS9.2,TS90.2,TS90,TS91.2,TS91,TS92.2,TS92,TS94.2,TS94,TS95.2,TS95,TS96.2,TS96,TS97.2,TS97,TS98.2,TS98,TS99.2,TS9
Atopobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides,194,227,56,555,34,552,124,415,792,60,453,275,112,292,375,709,434,613,367,99,338,342,7,32,21,224,493,359,185,754,509,517,707,254,130,3,759,507,20,726,192,33,204,356,308,1121,764,526,524,81,1110,900,606,632,913,540,895,336,314,128,655,609,154,45,86,476,280,137,338,20,1065,54,97,347,327,936,137,525,459,461,168,651,540,490,342,573,549,719,1775,97,24,29,450,387,264,479,566,219,277,279,171,352,340,29,42,256,1133,1427,513,307,584,628,403,174,22,723,59,87,435,198,193,244,1206,616,16,28,31,8,237,826,656,703,136,1482,692,1087,573,515,355,464,0,327,745,640,137,203,230,494,456,505,1075,886,268,217,620,301,1681,75,95,455,1708,547,4973,42,1103,427,44,1316,123,288,609,1562,2649,241,759,0,369,16,21,581,993,39,29,259,1529,844,772,424,42,281,256,2379,47,441,25,382,242,1194,464,0,1000,1,923,539,121,886,81,173,842,80,329,562,555,301,188,1227,372,366,122,259,698,461,808,835,47,218,253,448,532,285,945,42,170,278,234,332,857,0,539,95,864,30,59,28,565,232,12,15,563,306,304,484,27,89,641,919,610,361,1858,470,478,576,121,8,110,154,582,481,672,694,358,219,436,550,861,835,1404,2546
Barnesiella,21,0,0,5,0,5,1,0,0,0,0,0,0,0,9,6,0,0,13,15,5,26,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,0,1,61,5,30,60,4,8,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,9,10,1,6,0,0,4,3,58,5,0,3,0,0,0,2,6,0,0,1,0,44,47,0,0,9,9,1,0,0,0,0,0,0,32,7,9,3,0,0,9,0,2,0,0,0,14,9,0,0,15,23,0,0,0,0,0,0,19,3,0,0,0,0,0,0,0,0,0,0,3,17,0,27,0,12,17,0,0,7,0,0,2,0,0,0,15,10,17,71,0,18,53,0,0,0,0,0,0,0,0,12,26,0,0,1,2,21,17,0,0,22,46,4,36,0,0,5,1,19,1,42,52,1,17,13,2,0,0,37,0,0,0,20,79,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,59,13,39,23,3,2,5,3,4,0,2,0,8,13,1,0,0,0,4,4,0,0,4,1,0,0,0,2,10,0,0,0,0,1,1,0,0,3,10,0,4,4,6,12,8,72,0,23,43,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0
Bifidobacterium,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,2,0,0,1,0,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,2,1,0,2,0,0,3,0,0,1,3,2,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,2,2,0,0,0,0,0,0,0
Brachyspira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bradyrhizobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulleidia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butyricicoccus,1,4,0,2,0,4,1,3,0,0,1,4,0,1,4,3,0,1,2,1,1,1,1,0,0,2,2,4,3,2,3,6,2,0,2,1,0,1,0,5,1,0,7,4,1,1,2,5,1,1,3,0,3,4,3,0,6,0,2,4,1,2,1,4,1,0,1,5,1,1,0,2,3,2,4,0,1,2,7,0,2,0,0,1,1,1,2,4,12,2,0,22,0,2,1,2,7,0,1,2,6,1,40,0,6,0,1,1,1,1,1,2,0,0,2,3,0,2,4,4,4,0,0,0,3,3,1,1,0,2,1,2,2,5,6,0,1,2,3,21,0,7,1,0,13,0,0,0,8,2,0,13,0,1,12,3,14,1,0,1,4,1,5,0,2,13,1,15,3,0,4,1,4,5,13,0,3,0,3,0,2,0,4,0,6,3,0,5,1,2,0,5,2,1,3,1,7,4,4,0,5,0,0,6,3,0,0,0,1,1,2,0,0,0,3,9,0,3,0,1,8,3,1,3,0,1,2,5,1,2,5,2,1,0,0,5,1,0,3,1,12,0,5,4,6,2,1,1,3,2,1,4,0,1,1,1,10,2,10,1,2,2,4,0,3,4,3,2,6,3,0,0,1,6,7,2,0,6
Butyricimonas,1,0,0,2,0,0,0,0,0,0,0,0,0,0,4,8,0,0,3,0,1,0,2,2,6,1,4,3,6,7,8,11,0,0,8,0,0,0,0,0,8,4,1,0,0,0,3,6,0,2,0,0,0,0,0,0,0,0,0,0,2,2,6,3,0,2,0,0,0,1,2,1,1,8,1,22,7,3,2,9,3,0,0,7,7,0,0,4,8,1,0,0,0,0,3,0,0,1,1,2,0,2,0,0,2,0,0,0,0,0,0,0,16,3,0,3,0,0,11,5,0,0,4,0,0,0,0,1,1,0,1,7,2,10,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,33,14,17,2,11,1,4,5,2,1,0,17,8,3,1,13,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,11,8,0,0,1,0,0,0,7,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,11,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,10,8,16,0,6,8,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
Butyrivibrio,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1
Campylobacter,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catenibacterium,0,0,139,126,0,0,0,0,0,0,0,0,184,6,0,0,0,0,0,0,0,0,52,59,71,119,0,0,0,0,0,0,0,1,0,0,0,0,0,2,22,27,0,0,3,0,0,0,0,0,0,3,0,0,0,0,100,61,0,2,0,0,0,1,0,0,0,0,126,104,0,5,5,17,5,22,31,6,0,21,14,0,0,29,41,2,0,0,0,0,0,0,30,122,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,72,0,0,0,0,0,0,135,172,0,0,60,232,28,46,0,0,99,87,139,96,316,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492,457,55,615,91,15,0,0,0,1,0,3,0,0,0,0,660,768,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,8,0,0,0,0,0,0,164,28,0,0,0,0,110,264,12,30,0,0,0,0,0,0,181,9,0,0,10,2,25,87,0,0,0,0,0,0,0,0
Caulobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,1,27,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0
Cloacibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium,1,0,1,3,1,0,1,0,0,0,0,3,1,5,0,1,1,0,0,3,0,0,2,2,0,1,14,11,1,1,0,0,1,0,1,0,0,0,1,2,0,1,4,1,7,3,1,1,2,0,2,2,1,9,1,0,0,6,0,0,0,0,8,4,4,2,1,3,6,0,3,1,0,1,0,1,1,0,2,1,0,2,0,1,6,1,0,1,0,2,1,1,0,4,5,0,0,0,15,16,2,1,59,1,1,0,0,0,5,0,9,3,7,126,1,0,82,26,0,4,1,1,0,12,5,9,1,3,1,0,0,17,28,3,0,0,0,0,0,5,1,1,2,0,0,0,0,0,0,0,22,0,6,0,1,6,15,0,171,24,19,7,54,0,3,0,2,0,0,4,3,4,1,6,0,0,0,0,7,1,6,2,2,5,6,0,8,0,0,2,3,2,21,0,10,0,0,0,0,5,7,1,4,67,0,0,0,0,1,1,3,0,5,34,6,1,1,0,1,1,10,1,14,4,8,1,3,1,2,0,0,3,1,0,0,11,2,6,0,0,127,0,0,1,4,0,0,2,1,3,1,1,0,1,1,0,1,0,20,0,0,0,1,0,0,0,3,10,1,0,8,0,3,4,11,2,1,16
Collinsella,0,7,10,2,0,3,1,0,0,0,23,5,105,37,0,1,25,6,0,2,0,5,33,34,8,51,19,35,53,4,32,32,9,6,22,4,12,5,82,34,17,11,4,8,25,63,0,10,19,9,15,0,0,0,51,8,25,20,8,8,0,0,14,4,6,6,5,15,3,34,2,1,0,2,0,10,55,6,41,13,5,0,0,0,0,9,8,1,20,106,8,71,0,0,0,0,11,35,8,12,10,1,4,1,2,1,0,0,0,0,0,0,4,13,25,4,139,14,13,8,33,10,0,9,21,106,12,44,0,1,3,8,18,9,18,3,35,0,0,1,104,8,2,2,0,2,1,0,0,0,27,0,9,12,39,91,30,258,0,23,3,89,9,41,68,0,4,188,1,24,0,2,47,73,20,169,16,19,49,151,16,58,43,50,5,4,0,61,155,135,54,0,54,246,169,11,335,0,0,0,0,0,0,215,55,13,5,0,2,0,0,1,7,16,3,11,0,0,4,15,16,4,40,14,185,1,2,2,5,1,7,20,10,0,0,20,5,141,8,17,29,0,8,1,28,17,2,2,0,0,0,37,5,14,9,6,3,9,0,15,4,3,31,5,59,8,24,15,0,0,23,4,15,12,0,0,2,4
Coprobacillus,7,32,2,3,0,0,11,0,0,0,1,21,5,0,9,25,113,2,112,70,5,31,0,0,0,0,52,75,8,6,38,25,0,0,15,1,7,3,5,1,1,0,0,1,0,5,9,59,0,104,4,0,0,1,31,14,4,3,9,1,19,29,1,0,18,11,1,13,0,1,70,0,5,0,4,0,0,0,0,1,1,23,53,1,1,3,1,9,41,653,75,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,4,33,2,27,10,26,16,0,0,0,10,0,2,0,0,0,1,0,0,1,3,0,0,15,0,36,0,263,13,0,41,46,50,0,9,25,73,247,53,3,55,239,1102,862,2,24,23,124,113,62,0,10,3,0,0,86,1,0,25,271,14,0,0,2,26,6,82,20,157,50,60,29,265,7,87,0,0,11,3,551,471,243,3,82,2,0,4,57,0,0,723,0,6,1,3,1,1,46,7,12,14,20,65,13,2,24,7,27,16,161,92,7,0,2,7,23,8,2,9,2,0,1,2,8,0,1,3,36,7,7,11,12,3,0,0,15,60,0,4,0,0,3,1,0,5,53,10,0,1,5,2,26,15,0,1,0,0,0,1,41,15,8,0,0,33
Coprococcus,3,2,42,32,2,11,20,17,7,9,17,19,5,2,7,10,5,8,13,16,22,24,22,41,131,63,5,0,6,10,37,18,13,6,41,1,20,6,0,0,65,30,26,66,9,17,6,5,14,54,6,3,0,0,14,4,28,2,27,8,9,9,54,46,7,20,1,16,47,26,171,8,47,42,22,6,6,14,53,18,10,29,29,10,14,44,13,41,24,97,22,47,18,34,36,16,29,20,29,14,2,15,55,23,30,1,5,2,29,0,46,36,6,21,4,19,33,11,90,124,88,67,15,2,11,1,12,5,0,8,1,29,28,7,9,3,33,46,15,7,36,90,30,126,33,13,10,5,0,2,87,15,8,110,218,2,25,13,38,79,148,54,170,43,29,2,1,26,10,4,4,11,83,10,7,8,230,29,163,33,6,85,12,16,24,21,46,16,7,6,486,71,9,3,125,5,197,13,37,0,25,9,12,103,5,45,4,19,7,32,54,38,62,17,19,41,17,34,0,18,35,22,11,15,60,49,28,10,27,13,0,29,17,63,47,48,20,24,38,5,96,10,12,10,18,4,24,10,14,17,2,11,16,36,4,10,34,11,128,115,16,87,26,9,26,15,21,17,4,6,25,17,6,2,13,0,0,298
Coraliomargarita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Coriobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
